regret,cumregret,paramerror,context,action,reward
0.0,5.483590615100474,0.06957972749160544,11,7,0.5067771915108891
-5.551115123125783e-17,5.483590615100474,0.06952473228724404,70,4,0.5187403230081368
0.0,5.483590615100474,0.07052080026846053,5,8,0.5597611218258977
1.1102230246251565e-16,5.483590615100474,0.07051797592068774,7,4,0.48112251178831167
0.0,5.483590615100474,0.0704953709581129,43,8,0.3816282054701622
5.551115123125783e-17,5.483590615100474,0.07044577176306066,75,2,0.46524151607760394
0.0,5.483590615100474,0.07016054947200656,14,1,0.4156630867528943
0.0,5.483590615100474,0.07036706325982876,43,8,0.3042071394732543
-5.551115123125783e-17,5.483590615100474,0.07194929704811674,70,4,0.38640229730216896
5.551115123125783e-17,5.483590615100474,0.0716919540265127,97,7,0.45645468112541737
0.0,5.483590615100474,0.07192460689845492,16,9,0.7403189544451682
0.0,5.483590615100474,0.06294472584363484,55,2,0.26895318732963536
0.0,5.483590615100474,0.0628022698295878,18,5,0.4387265681438977
5.551115123125783e-17,5.483590615100474,0.06543235631608128,96,8,0.10307801374394437
0.0,5.483590615100474,0.06821811075315075,94,7,0.34398264137828843
0.0,5.483590615100474,0.06648987817030023,46,6,0.5832893723499598
-1.1102230246251565e-16,5.483590615100474,0.06678627978828304,22,0,0.4999527168818603
-5.551115123125783e-17,5.483590615100474,0.06264241551389665,80,2,0.5134197501908687
0.0,5.483590615100474,0.06267635570858734,48,3,0.5782478152198488
0.0,5.483590615100474,0.06351236510616606,14,1,0.44765825527908276
0.0,5.483590615100474,0.06436647173912687,35,1,0.5760902638194536
-1.1102230246251565e-16,5.483590615100474,0.06404932120887305,66,4,0.44387677030350353
-1.1102230246251565e-16,5.483590615100474,0.06275322828628009,66,4,0.4675920383227298
0.010926487176703026,5.494517102277177,0.061077484844832185,93,3,0.3633872482680937
5.551115123125783e-17,5.494517102277177,0.0605923313237088,12,7,0.23201800077514345
0.0,5.494517102277177,0.059995216350978486,18,5,0.28438324214939736
-5.551115123125783e-17,5.494517102277177,0.05705076533828663,53,9,0.5742039110310544
5.551115123125783e-17,5.494517102277177,0.060217374603805926,88,2,0.5338026295953954
0.0,5.494517102277177,0.060845591257799134,72,8,0.7600995264907081
0.0,5.494517102277177,0.060174343648339845,17,5,0.5508816238086176
0.0,5.494517102277177,0.0603566617556755,31,9,0.17468650897079793
0.0,5.494517102277177,0.060533501854948706,14,1,0.23387773826880429
-5.551115123125783e-17,5.494517102277177,0.05796931703336792,56,5,0.30901690208094834
0.0,5.494517102277177,0.05813046027530676,21,4,0.9110504778043312
0.008052970395834913,5.502570072673012,0.05971924470029161,50,8,0.43397517215152215
0.0,5.502570072673012,0.05836429606702002,28,1,0.5977385241371511
-5.551115123125783e-17,5.502570072673012,0.05506316476587948,56,5,0.28864965507890594
-1.1102230246251565e-16,5.502570072673012,0.055415247755973306,66,4,0.512715707664755
-5.551115123125783e-17,5.502570072673012,0.05291672003185605,87,0,0.21748939349448543
1.1102230246251565e-16,5.502570072673012,0.0534684059510836,59,7,0.5627751179667254
0.0,5.502570072673012,0.05240477082301916,65,5,0.30730399640627776
-1.1102230246251565e-16,5.502570072673012,0.049847850486612943,22,0,0.4231695030761072
0.0,5.502570072673012,0.04955632345925525,63,4,0.7396282461788979
5.551115123125783e-17,5.502570072673012,0.05163241542163786,45,1,0.21941774993858473
-1.1102230246251565e-16,5.502570072673012,0.05132795796498501,2,0,0.5148397294359264
0.0,5.502570072673012,0.05135330893093076,58,2,0.4482104013299013
0.0,5.502570072673012,0.05299875953595295,85,4,0.40594237854365467
0.0,5.502570072673012,0.053043035706555185,61,6,0.3523035112787534
0.0,5.502570072673012,0.05349504294674984,34,7,0.46150102342902377
0.0,5.502570072673012,0.0535513572398306,38,2,0.6473975517666167
0.0,5.502570072673012,0.053754842751720176,4,3,0.5311717298338045
0.0,5.502570072673012,0.055149097556839825,16,9,0.5205797997579013
0.0,5.502570072673012,0.05539337919611457,43,8,0.5013561476318303
1.1102230246251565e-16,5.502570072673012,0.05366887013874223,81,8,0.71540820475763
1.1102230246251565e-16,5.502570072673012,0.053388307679971894,92,1,0.8341134745665556
0.0,5.502570072673012,0.05193839717522034,83,3,0.5195599106734582
0.0,5.502570072673012,0.050806466111065554,4,3,0.4592672579137565
0.0,5.502570072673012,0.05096070659530656,6,5,0.17400177836174563
-5.551115123125783e-17,5.502570072673012,0.052673394652280936,80,2,0.4391487499848447
0.0,5.502570072673012,0.05243205988162442,52,1,0.5548642317107964
0.0,5.502570072673012,0.052303508114392314,23,8,0.6604669315027235
0.0,5.502570072673012,0.052613458109732156,68,2,0.6788084356826535
0.0,5.502570072673012,0.05294762591831532,46,6,0.5328518757144328
0.0,5.502570072673012,0.0541440735189607,61,6,0.3092069903625475
5.551115123125783e-17,5.502570072673012,0.05413769920710058,3,6,0.1790053497471131
5.551115123125783e-17,5.502570072673012,0.053716050298580856,97,7,0.5499262151164208
-5.551115123125783e-17,5.502570072673012,0.05371628563385849,26,4,0.3210320901866944
0.0,5.502570072673012,0.05322597695107435,94,7,0.49652095779586186
0.0,5.502570072673012,0.05349877136898044,72,8,0.820485506835584
0.0,5.502570072673012,0.05306450618447799,72,8,0.5831352749012781
-1.1102230246251565e-16,5.502570072673012,0.05338621783704086,15,7,0.37787358989244835
0.0,5.502570072673012,0.05340869355969587,58,2,0.34713477795203634
0.0,5.502570072673012,0.0572714539723257,30,6,0.7152202131420246
1.1102230246251565e-16,5.502570072673012,0.05694788270369971,81,8,0.7071227462000202
-1.1102230246251565e-16,5.502570072673012,0.05699239923811352,15,7,0.3484041674910996
1.1102230246251565e-16,5.502570072673012,0.05722352374246148,89,7,0.496829202721463
0.0021687459778008122,5.504738818650813,0.05720571760912715,8,8,0.313973184761334
0.0,5.504738818650813,0.05733833112991749,13,2,0.13054318959648487
0.0,5.504738818650813,0.05696887930227938,17,5,0.7207476585931828
0.0,5.504738818650813,0.056686895952820324,35,1,0.694702531787567
0.0,5.504738818650813,0.05747455685821167,61,6,0.27566477660552624
-1.1102230246251565e-16,5.504738818650813,0.057269818592912844,22,0,0.42887515263611636
0.0,5.504738818650813,0.05680087489718026,24,8,0.4449675060151395
5.551115123125783e-17,5.504738818650813,0.05693156401157321,97,7,0.454504446932849
0.0,5.504738818650813,0.05669133566568075,25,7,0.6700564212734711
0.0,5.504738818650813,0.056910220232746195,58,2,0.5070353545199789
0.0,5.504738818650813,0.056688942381168124,94,7,0.23263826024732961
-1.1102230246251565e-16,5.504738818650813,0.0551998509523353,22,0,0.31290692787521324
0.0,5.504738818650813,0.05722472836094906,38,2,0.5182064767173926
1.1102230246251565e-16,5.504738818650813,0.05974453235856441,81,8,0.7950851555655107
-1.1102230246251565e-16,5.504738818650813,0.05973495595171366,2,0,0.40185284514682124
-1.1102230246251565e-16,5.504738818650813,0.05870742075114661,66,4,0.4085340110006161
0.0,5.504738818650813,0.05875060730234227,77,6,0.3460536372992272
0.0,5.504738818650813,0.05916501287656569,76,3,0.5575772805624359
0.0,5.504738818650813,0.05700015035894001,39,4,0.4033828887504077
0.0,5.504738818650813,0.056993924889590035,72,8,0.8509901687483865
-5.551115123125783e-17,5.504738818650813,0.05610773958485716,70,4,0.46898514673412306
0.0,5.504738818650813,0.05694395187954528,86,2,0.5296057596073352
0.0,5.504738818650813,0.055818277475683326,84,9,0.6008753480607073
-5.551115123125783e-17,5.504738818650813,0.05508897978130305,87,0,0.24274033653344834
0.0,5.504738818650813,0.055728600278192444,95,2,0.3449938321730429
0.0,5.504738818650813,0.0550572283543721,72,8,0.6935401385361777
0.0,5.504738818650813,0.05504755073547744,30,6,0.6940571377775596
-1.1102230246251565e-16,5.504738818650813,0.05507698159925643,15,7,0.38853618404082463
0.0,5.504738818650813,0.05505970480479839,95,2,0.46808942147665306
0.0,5.504738818650813,0.05512997146190283,86,2,0.42412567361068376
0.0,5.504738818650813,0.05621328725024243,27,2,-0.03317840272652722
-5.551115123125783e-17,5.504738818650813,0.053426850849225486,9,2,0.40729290218470693
0.008052970395834913,5.512791789046648,0.05329830718669622,50,8,0.5106954786601269
5.551115123125783e-17,5.512791789046648,0.05381591129720174,3,6,0.06481013076271223
0.0,5.512791789046648,0.054634042938973774,17,5,0.7615900466492805
0.0,5.512791789046648,0.054869651105600374,73,0,0.39324887980179135
0.0,5.512791789046648,0.05492372935016139,78,9,0.609524115163832
